~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       14378     209
2:       11651     226
3:       19479     290
4:       17410     208
5:       25456     398
6:       13327     247
7:       26157     289
8:       16772     227
9:       20858     250
10:       13649     239
average:   17913     258
