~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       23730     744
2:       19655     600
3:       17180     600
4:       16973     600
5:       22223     936
6:       15624     504
7:       19598     888
8:       15710     552
9:       12552     600
10:       13470     552
average:   17671     657
