~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       23820     952
2:       21598     1070
3:       13494     603
4:       17519     664
5:       17243     607
6:       15138     717
7:       15613     665
8:       19234     607
9:       12629     662
10:       19805     953
average:   17609     750
