~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       19756     136
2:       24715     195
3:       24782     189
4:       21494     126
5:       25690     184
6:       18185     160
7:       28874     264
8:       28206     278
9:       19810     160
10:       24933     223
average:   23644     191
