~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       16295     295
2:       18135     298
3:       20729     251
4:       17204     415
5:       14766     295
6:       12499     273
7:       17535     365
8:       26141     486
9:       24144     321
10:       10583     246
average:   17803     324
