~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       19564     1131
2:       12211     741
3:       15256     819
4:       15481     1131
5:       24041     1443
6:       21455     975
7:       15665     819
8:       13330     897
9:       23433     1287
10:       18294     1053
average:   17873     1029
