~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       12770     783
2:       19588     899
3:       28252     1479
4:       16707     841
5:       17596     783
6:       15198     609
7:       15949     783
8:       17026     725
9:       20675     841
10:       16035     667
average:   17979     841
