~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       25229     316
2:       24470     305
3:       21751     275
4:       11597     179
5:       16122     254
6:       21964     241
7:       25279     213
8:       35065     383
9:       16459     181
10:       19753     286
average:   21768     263
