~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       21972     310
2:       14702     250
3:       17147     230
4:       15854     230
5:       21475     290
6:       14596     190
7:       14746     230
8:       22381     290
9:       17376     210
10:       16040     250
average:   17628     248
