~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       19466     348
2:       18420     372
3:       17577     324
4:       23175     396
5:       15375     276
6:       20128     324
7:       10348     228
8:       14236     252
9:       14919     324
10:       19322     300
average:   17296     314
