~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       21318     1131
2:       29488     1989
3:       21919     1443
4:       19575     975
5:       11751     819
6:       13168     897
7:       20486     897
8:       12015     819
9:       17914     897
10:       11483     897
average:   17911     1076
