~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       21227     162
2:       18008     162
3:       17512     150
4:       20910     210
5:       15049     126
6:       19504     138
7:       22977     234
8:       18545     150
9:       22995     198
10:       16866     174
average:   19359     170
