~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       10538     437
2:       24192     779
3:       13627     513
4:       18581     589
5:       18314     703
6:       12123     437
7:       18091     475
8:       17821     437
9:       21683     475
10:       15862     437
average:   17083     528
