~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       23935     462
2:       17647     518
3:       12048     322
4:       16904     406
5:       16492     462
6:       24156     462
7:       21006     434
8:       11014     322
9:       14473     322
10:       18047     294
average:   17572     400
