~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       13910     346
2:       11625     298
3:       22939     297
4:       21997     423
5:       14130     342
6:       15628     273
7:       18829     349
8:       20970     449
9:       20141     347
10:       15041     320
average:   17521     344
