~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       25088     169
2:       41988     237
3:       12706     104
4:       23664     203
5:       31656     216
6:       23771     199
7:       27100     174
8:       31259     233
9:       45456     282
10:       28352     194
average:   29104     201
