~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       20710     273
2:       16441     293
3:       20074     267
4:       12113     291
5:       23858     360
6:       14783     352
7:       18875     231
8:       16635     229
9:       15108     226
10:       21582     292
average:   18017     281
