~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       15482     115
2:       19273     145
3:       12888     125
4:       18960     125
5:       30454     245
6:       21292     155
7:       13892     135
8:       23779     205
9:       23629     205
10:       17711     145
average:   19736     160
