~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       23175     341
2:       16127     253
3:       15193     297
4:       20722     253
5:       13590     253
6:       15491     275
7:       13339     297
8:       21246     341
9:       13706     297
10:       21264     253
average:   17385     286
