~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       22354     323
2:       19085     198
3:       28891     278
4:       26259     231
5:       27532     296
6:       19743     215
7:       30092     342
8:       16652     196
9:       21469     200
10:       14771     143
average:   22684     242
