~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       31276     2052
2:       15895     1045
3:       17614     1051
4:       14644     965
5:       20370     1279
6:       12896     969
7:       12064     1197
8:       15734     1051
9:       13900     815
10:       21432     1279
average:   17582     1170
