~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       20732     161
2:       30590     315
3:       20114     203
4:       18192     161
5:       18143     203
6:       17557     175
7:       13767     146
8:       19436     203
9:       15653     147
10:       18710     217
average:   19289     193
