~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       13549     346
2:       17266     322
3:       15559     347
4:       22453     404
5:       14917     320
6:       12619     291
7:       29371     514
8:       17503     371
9:       16978     455
10:       20479     484
average:   18069     385
