~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       19081     238
2:       26541     325
3:       10996     189
4:       22487     306
5:       20772     272
6:       13940     166
7:       22497     294
8:       16091     241
9:       23737     328
10:       21158     273
average:   19730     263
