~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       21739     200
2:       20981     184
3:       20781     232
4:       19968     232
5:       19506     168
6:       20402     232
7:       17070     200
8:       21551     248
9:       16841     200
10:       10874     216
average:   18971     211
