~~~~~~~~~Runtime~~~~~~~~~
No.      Runtime   total_m
1:       10790     247
2:       13152     325
3:       19800     325
4:       16828     247
5:       16508     299
6:       27169     663
7:       14493     273
8:       19631     403
9:       18372     351
10:       16857     273
average:   17360     340
